V-1_Project_Locality,V-2_Total_Floor_Area,V-3_Lot_Area,V-7_Construction_Duration,V-9_Sale_Price,Year_Sold
StoneBr,344.855936,1058.536782,1.0,394432.0,2010.0
NridgHt,364.551372,1194.546774,2.0,376162.0,2010.0
NridgHt,359.53461,943.801577,2.0,395192.0,2010.0
NridgHt,286.884464,1196.869349,2.0,290941.0,2010.0
NridgHt,286.327046,1131.744346,1.0,220000.0,2010.0
NridgHt,436.086682,1200.213857,2.0,611657.0,2010.0
NridgHt,252.324548,591.885013,2.0,224000.0,2010.0
Somerst,226.311708,856.101145,2.0,204500.0,2010.0
Somerst,273.878044,409.051909,1.0,222000.0,2010.0
Somerst,284.28318,1194.082259,1.0,267916.0,2010.0
Timber,225.568484,910.728109,2.0,179781.0,2010.0
Timber,254.740026,1115.114709,2.0,269500.0,2010.0
StoneBr,413.41835,1618.648969,2.0,501837.0,2009.0
StoneBr,380.15907599999997,1100.343132,1.0,372500.0,2009.0
Somerst,257.062601,743.595612,1.0,263435.0,2009.0
NridgHt,470.646598,1255.862754,2.0,485000.0,2009.0
NridgHt,379.415852,1180.239712,2.0,253293.0,2009.0
NridgHt,376.721665,1147.35205,1.0,398800.0,2009.0
NridgHt,374.027478,1135.27466,1.0,402861.0,2009.0
NridgHt,423.266068,1290.515573,2.0,582933.0,2009.0
NridgHt,279.080612,886.387523,1.0,233170.0,2009.0
NridgHt,350.05850399999997,686.55317,2.0,320000.0,2009.0
Somerst,272.763208,892.983636,2.0,244600.0,2009.0
Somerst,292.737353,860.467586,2.0,287090.0,2009.0
Somerst,255.669056,802.68192,1.0,252678.0,2009.0
Somerst,226.311708,730.403386,1.0,208300.0,2009.0
Somerst,266.817416,742.573679,2.0,225000.0,2009.0
Somerst,242.848442,802.68192,1.0,229456.0,2009.0
Somerst,328.133396,853.499861,1.0,370878.0,2009.0
Somerst,341.139816,754.836875,2.0,264500.0,2009.0
SawyerW,269.4187,680.793184,2.0,224243.0,2009.0
Somerst,170.569908,367.059753,1.0,164500.0,2009.0
Somerst,170.569908,278.709,1.0,173733.0,2009.0
Somerst,320.701156,355.81849,1.0,222000.0,2009.0
OldTown,203.271764,413.975768,89.0,113000.0,2009.0
CollgCr,300.541205,1015.708499,1.0,323262.0,2009.0
Crawfor,301.377332,357.026229,2.0,230000.0,2009.0
Timber,235.787814,1222.510577,1.0,224500.0,2009.0
NridgHt,358.977192,1156.084932,1.0,394617.0,2008.0
NridgHt,372.912642,1158.872022,2.0,426000.0,2008.0
NridgHt,386.662286,1375.243109,2.0,385000.0,2008.0
NridgHt,386.940995,1388.714044,1.0,446261.0,2008.0
NridgHt,293.945092,1180.239712,1.0,317500.0,2008.0
NridgHt,317.72826,1290.515573,2.0,372402.0,2008.0
NridgHt,345.970772,939.24933,1.0,336860.0,2008.0
NridgHt,316.241812,814.666407,1.0,367294.0,2008.0
NridgHt,334.4508,764.777496,2.0,370967.0,2008.0
Blmngtn,222.223976,344.67013,2.0,187687.0,2008.0
NridgHt,251.581324,678.284803,2.0,217300.0,2008.0
Somerst,279.080612,1355.176061,1.0,264132.0,2008.0
Somerst,264.309035,1140.291422,1.0,227680.0,2008.0
Somerst,262.822587,875.889484,2.0,297900.0,2008.0
Somerst,254.089705,802.68192,2.0,212700.0,2008.0
Somerst,254.92583199999999,802.68192,2.0,250580.0,2008.0
Somerst,265.330968,1081.298017,2.0,182000.0,2008.0
Somerst,289.114136,1003.3524,2.0,339750.0,2008.0
Somerst,226.311708,696.7725,2.0,230348.0,2008.0
CollgCr,184.319552,986.258248,1.0,177439.0,2008.0
CollgCr,326.739851,1094.211534,1.0,395039.0,2008.0
Edwards,1091.796056,5935.293961,1.0,160000.0,2008.0
Crawfor,302.120556,519.049061,1.0,392500.0,2008.0
Crawfor,301.377332,357.026229,2.0,294464.0,2008.0
Timber,305.093452,884.43656,2.0,293077.0,2008.0
Timber,250.8381,1193.989356,1.0,264966.0,2008.0
Timber,223.710424,1116.508254,1.0,218689.0,2008.0
StoneBr,464.329194,4828.540522,2.0,591587.0,2007.0
StoneBr,263.658714,751.492367,1.0,392000.0,2007.0
StoneBr,351.544952,1288.56461,2.0,455000.0,2007.0
NridgHt,335.008218,1158.407507,2.0,356000.0,2007.0
NridgHt,339.09595,1086.407682,1.0,314813.0,2007.0
NridgHt,314.755364,1117.62309,1.0,318000.0,2007.0
NridgHt,314.755364,1098.577975,2.0,322400.0,2007.0
NridgHt,322.187604,1122.732755,1.0,318000.0,2007.0
NridgHt,392.97969,1331.578699,1.0,345474.0,2007.0
NridgHt,394.094526,1342.44835,2.0,415298.0,2007.0
NridgHt,426.42477,1267.289823,1.0,492000.0,2007.0
NridgHt,339.839174,1248.61632,2.0,338931.0,2007.0
NridgHt,300.541205,1314.949062,1.0,280000.0,2007.0
NridgHt,474.176912,1290.515573,1.0,479069.0,2007.0
NridgHt,363.064924,1321.638078,1.0,395000.0,2007.0
NridgHt,367.152656,1391.408231,2.0,440000.0,2007.0
NridgHt,428.28283,1595.051607,1.0,500067.0,2007.0
NridgHt,346.899802,1547.671077,2.0,260116.0,2007.0
NridgHt,280.381254,901.995227,1.0,319500.0,2007.0
NridgHt,347.735929,981.241486,1.0,325624.0,2007.0
NridgHt,252.045839,1167.604904,1.0,281500.0,2007.0
NridgHt,290.414778,997.034996,2.0,250000.0,2007.0
NridgHt,241.919412,362.414603,2.0,204000.0,2007.0
NridgHt,347.271414,726.50146,1.0,318061.0,2007.0
NridgHt,246.007144,579.7147199999999,1.0,221370.0,2007.0
Gilbert,210.332392,1468.79643,1.0,181755.0,2007.0
Gilbert,210.611101,951.048011,3.0,178900.0,2007.0
Gilbert,191.937598,1226.691212,2.0,168165.0,2007.0
Gilbert,207.45239899999999,822.841871,1.0,171925.0,2007.0
Gilbert,227.054932,903.853287,2.0,198444.0,2007.0
Gilbert,202.900152,837.799254,1.0,179540.0,2007.0
Gilbert,241.919412,835.476679,1.0,176485.0,2007.0
Gilbert,248.98004,826.743797,1.0,181134.0,2007.0
Gilbert,188.407284,789.582597,2.0,156932.0,2007.0
Gilbert,209.589168,764.498787,1.0,166000.0,2007.0
Gilbert,202.900152,716.560839,1.0,177594.0,2007.0
Gilbert,232.629112,715.074391,1.0,173500.0,2007.0
Blmngtn,233.743948,364.365566,2.0,172500.0,2007.0
Blmngtn,247.12198,364.365566,2.0,194201.0,2007.0
Blmngtn,235.23039599999998,344.67013,1.0,185485.0,2007.0
Gilbert,281.960605,1015.987208,1.0,206580.0,2007.0
Somerst,254.368414,920.66873,1.0,213133.0,2007.0
Somerst,286.512852,1099.04249,1.0,260261.0,2007.0
Somerst,365.294596,1141.870773,1.0,419005.0,2007.0
Somerst,333.52177,927.729358,2.0,147000.0,2007.0
Somerst,283.911568,925.778395,1.0,235876.0,2007.0
Somerst,320.701156,874.774648,1.0,311872.0,2007.0
Somerst,313.826334,915.001647,1.0,248328.0,2007.0
Somerst,277.965776,850.805674,1.0,225000.0,2007.0
Somerst,248.608428,802.68192,1.0,208900.0,2007.0
Somerst,248.05101,836.127,2.0,210400.0,2007.0
Somerst,249.723264,802.68192,1.0,255000.0,2007.0
Somerst,214.884639,967.213133,1.0,212109.0,2007.0
Somerst,352.473982,836.127,1.0,303477.0,2007.0
Somerst,263.380005,1134.995951,1.0,310013.0,2007.0
Somerst,244.799405,948.2609209999999,1.0,227875.0,2007.0
Somerst,293.387674,969.90732,1.0,261329.0,2007.0
SawyerW,204.3866,696.7725,2.0,146000.0,2007.0
Somerst,212.933676,327.297269,2.0,166000.0,2007.0
Somerst,285.769628,351.544952,2.0,193800.0,2007.0
Somerst,251.209712,392.97969,2.0,208900.0,2007.0
Somerst,251.209712,335.008218,2.0,194000.0,2007.0
Somerst,287.9993,495.17298999999997,2.0,207500.0,2007.0
Somerst,230.585246,397.067422,2.0,199900.0,2007.0
Somerst,174.193125,394.930653,2.0,164700.0,2007.0
CollgCr,367.89588,925.778395,1.0,383970.0,2007.0
CollgCr,398.925482,925.778395,2.0,424870.0,2007.0
CollgCr,306.022482,852.663734,1.0,250000.0,2007.0
CollgCr,397.62484,973.7163429999999,2.0,360000.0,2007.0
CollgCr,277.594164,989.602756,2.0,279500.0,2007.0
CollgCr,244.520696,1038.191025,1.0,200141.0,2007.0
CollgCr,306.022482,950.862205,1.0,246500.0,2007.0
CollgCr,376.814568,890.753964,1.0,276000.0,2007.0
CollgCr,236.716844,818.847042,3.0,203000.0,2007.0
CollgCr,202.900152,1031.502009,1.0,155835.0,2007.0
CollgCr,224.453648,628.210086,1.0,195400.0,2007.0
CollgCr,205.687242,756.694935,1.0,179400.0,2007.0
CollgCr,247.12198,774.253602,2.0,167840.0,2007.0
Edwards,209.03175,793.020008,2.0,155000.0,2007.0
Edwards,946.68157,3650.15887,2.0,183850.0,2007.0
Edwards,725.944042,3724.852882,2.0,184750.0,2007.0
Crawfor,297.103794,517.283904,2.0,375000.0,2007.0
Timber,313.826334,777.412304,2.0,231713.0,2007.0
Timber,288.92833,770.909094,2.0,267300.0,2007.0
Timber,291.901226,1021.096873,1.0,239000.0,2007.0
Timber,305.093452,989.974368,2.0,248900.0,2007.0
Timber,325.903724,1421.973318,2.0,283463.0,2007.0
Timber,338.910144,1173.643599,2.0,392000.0,2007.0
Mitchel,208.10272,780.571006,1.0,147000.0,2007.0
Gilbert,358.048162,1800.274334,2.0,320000.0,2006.0
Gilbert,310.29602,1380.445677,1.0,240000.0,2006.0
Gilbert,363.436536,1277.509153,2.0,309000.0,2006.0
Gilbert,268.396767,2160.645071,1.0,274725.0,2006.0
StoneBr,389.820988,1488.584769,2.0,457347.0,2006.0
StoneBr,456.896954,1678.013986,1.0,545224.0,2006.0
StoneBr,331.385001,1141.963676,1.0,356383.0,2006.0
StoneBr,451.50858,1491.650568,2.0,556581.0,2006.0
StoneBr,353.96043,1155.5275139999999,1.0,361919.0,2006.0
StoneBr,422.522844,1491.2789559999999,1.0,535000.0,2006.0
StoneBr,388.799055,1479.201566,2.0,401179.0,2006.0
StoneBr,404.592565,1271.098846,1.0,438780.0,2006.0
StoneBr,338.16692,1049.989706,2.0,319000.0,2006.0
Somerst,304.536034,883.693336,2.0,294323.0,2006.0
NridgHt,401.991281,1522.401461,1.0,412083.0,2006.0
NridgHt,357.212035,1510.509877,1.0,342643.0,2006.0
NridgHt,385.733256,1290.515573,1.0,465000.0,2006.0
NridgHt,321.537283,1136.017884,1.0,293000.0,2006.0
NridgHt,328.319202,1320.616145,2.0,325300.0,2006.0
NridgHt,306.208288,1298.319425,2.0,300000.0,2006.0
NridgHt,343.462391,923.641626,2.0,338500.0,2006.0
NridgHt,325.067597,1107.775372,2.0,345000.0,2006.0
NridgHt,321.630186,1195.382901,2.0,344133.0,2006.0
NridgHt,319.865029,991.460816,1.0,298236.0,2006.0
NridgHt,360.649446,1081.669629,2.0,329900.0,2006.0
NridgHt,283.818665,1027.971695,1.0,281000.0,2006.0
NridgHt,332.964352,1278.159474,2.0,372397.0,2006.0
NridgHt,425.124128,1898.101193,2.0,437154.0,2006.0
NridgHt,254.182608,646.140365,2.0,202500.0,2006.0
NridgHt,254.182608,630.997176,2.0,202665.0,2006.0
NridgHt,313.268916,719.06922,1.0,332200.0,2006.0
NridgHt,309.552796,592.070819,1.0,310090.0,2006.0
Gilbert,244.520696,951.048011,2.0,169990.0,2006.0
Gilbert,202.900152,951.048011,2.0,170440.0,2006.0
Gilbert,207.17369,951.048011,1.0,169985.0,2006.0
Gilbert,199.74145,1589.012912,1.0,179665.0,2006.0
Gilbert,254.740026,1305.658762,1.0,219210.0,2006.0
Gilbert,246.378756,1083.24898,1.0,174190.0,2006.0
Gilbert,202.900152,1447.242934,1.0,172785.0,2006.0
Gilbert,318.192775,1080.554793,2.0,258000.0,2006.0
Gilbert,207.17369,842.908919,1.0,185101.0,2006.0
Blmngtn,240.061352,286.791561,1.0,210250.0,2006.0
Blmngtn,231.885888,279.63803,2.0,167240.0,2006.0
Blmngtn,212.190452,279.63803,2.0,156820.0,2006.0
Blmngtn,286.791561,369.939746,1.0,264561.0,2006.0
Blmngtn,265.330968,375.792635,1.0,246578.0,2006.0
Gilbert,311.875371,1124.497912,1.0,287602.0,2006.0
Somerst,284.654792,1156.363641,2.0,252000.0,2006.0
Somerst,310.29602,1413.797854,1.0,336820.0,2006.0
Somerst,387.777122,1941.301088,2.0,423000.0,2006.0
Somerst,308.43796,945.938346,1.0,290000.0,2006.0
Somerst,279.452224,1015.987208,1.0,199000.0,2006.0
Somerst,237.460068,802.68192,1.0,198600.0,2006.0
Somerst,434.414428,1222.789286,1.0,405749.0,2006.0
Somerst,276.665134,1042.000048,1.0,232600.0,2006.0
Somerst,281.867702,996.663384,1.0,266000.0,2006.0
Somerst,214.513027,754.836875,2.0,186500.0,2006.0
Somerst,217.950438,754.836875,1.0,197000.0,2006.0
Somerst,234.487172,668.9016,1.0,185000.0,2006.0
Somerst,240.990382,668.9016,1.0,187750.0,2006.0
SawyerW,260.1284,1024.162672,2.0,186800.0,2006.0
SawyerW,210.14658599999999,1214.428016,2.0,132000.0,2006.0
SawyerW,215.16334799999998,1214.428016,1.0,158000.0,2006.0
CollgCr,295.803152,1022.211709,2.0,229800.0,2006.0
CollgCr,224.732357,688.039618,1.0,194000.0,2006.0
CollgCr,239.68974,628.210086,1.0,193879.0,2006.0
CollgCr,299.89088399999997,1041.44263,2.0,221500.0,2006.0
CollgCr,278.337388,835.1979699999999,1.0,204900.0,2006.0
CollgCr,311.503759,813.83028,1.0,239799.0,2006.0
CollgCr,342.068846,1242.763431,1.0,233555.0,2006.0
CollgCr,293.57348,1081.855435,2.0,294900.0,2006.0
CollgCr,255.854862,1020.446552,2.0,209700.0,2006.0
CollgCr,278.523194,1450.308733,1.0,233230.0,2006.0
CollgCr,240.432964,797.200643,1.0,203160.0,2006.0
CollgCr,288.370912,936.833852,2.0,212900.0,2006.0
CollgCr,248.236816,814.945116,2.0,198000.0,2006.0
CollgCr,209.03175,821.819938,2.0,173900.0,2006.0
CollgCr,202.900152,786.052283,2.0,163990.0,2006.0
CollgCr,243.40586,814.480601,1.0,164990.0,2006.0
Edwards,150.409957,341.418525,2.0,140000.0,2006.0
Edwards,150.409957,341.418525,2.0,142500.0,2006.0
Crawfor,311.317953,534.006444,2.0,375000.0,2006.0
Timber,342.626264,1265.1530539999999,2.0,320000.0,2006.0
Timber,361.950088,1063.089029,2.0,369900.0,2006.0
Timber,341.511428,1075.538031,2.0,359900.0,2006.0
